,team_id,team_name,fgm,fga
0,1101,Abilene Chr,427,1053
1,1102,Air Force,2493,5510
2,1103,Akron,3253,7357
3,1104,Alabama,2992,6783
4,1105,Alabama A&M,2357,5896
5,1106,Alabama St,2666,6711
6,1107,Albany NY,3019,6922
7,1108,Alcorn St,2474,6344
9,1110,American Univ,2758,6192
10,1111,Appalachian St,2708,6254
11,1112,Arizona,3519,7665
12,1113,Arizona St,3032,6768
13,1114,Ark Little Rock,2797,6792
14,1115,Ark Pine Bluff,2634,6534
15,1116,Arkansas,3287,7516
16,1117,Arkansas St,2825,6664
18,1119,Army,2835,6575
19,1120,Auburn,2789,6737
21,1122,Austin Peay,2998,6591
22,1123,Ball St,2522,5940
23,1124,Baylor,3334,7323
24,1125,Belmont,3598,7466
25,1126,Bethune-Cookman,2795,6705
26,1127,Binghamton,2429,6291
28,1129,Boise St,3015,6863
29,1130,Boston College,2870,6544
30,1131,Boston Univ,3059,7094
31,1132,Bowling Green,2941,6817
32,1133,Bradley,2929,6963
34,1135,Brown,2563,6120
35,1136,Bryant,2934,6624
36,1137,Bucknell,3083,6887
37,1138,Buffalo,2916,6393
38,1139,Butler,3160,7398
39,1140,BYU,3722,8117
40,1141,C Michigan,2658,6600
41,1142,Cal Poly SLO,2601,6314
42,1143,California,3332,7277
43,1144,Campbell,2957,6528
44,1145,Canisius,3067,7071
45,1146,Cent Arkansas,2747,6526
46,1147,Centenary,552,1392
47,1148,Central Conn,3017,7005
48,1149,Charleston So,2813,6574
49,1150,Charlotte,2924,6827
50,1151,Chattanooga,2748,6687
51,1152,Chicago St,2678,6736
52,1153,Cincinnati,3347,7932
53,1154,Citadel,2616,6076
54,1155,Clemson,2944,6848
55,1156,Cleveland St,2890,6579
56,1157,Coastal Car,2794,6211
57,1158,Col Charleston,3162,7172
58,1159,Colgate,2834,6485
59,1160,Colorado,3255,7299
60,1161,Colorado St,3026,6731
61,1162,Columbia,2484,5813
62,1163,Connecticut,3467,7822
63,1164,Coppin St,2714,6768
64,1165,Cornell,2579,6275
65,1166,Creighton,3595,7348
66,1167,CS Bakersfield,2688,6362
67,1168,CS Fullerton,2967,6587
68,1169,CS Northridge,2817,6687
69,1170,CS Sacramento,2420,5678
70,1171,Dartmouth,2352,5802
71,1172,Davidson,3189,7074
72,1173,Dayton,3238,7266
73,1174,Delaware,3082,7189
74,1175,Delaware St,2458,5918
75,1176,Denver,2706,5742
76,1177,DePaul,3252,7555
77,1178,Detroit,3171,7179
78,1179,Drake,2827,6441
79,1180,Drexel,2839,6714
80,1181,Duke,3781,8112
81,1182,Duquesne,3006,6870
82,1183,E Illinois,2526,5869
83,1184,E Kentucky,2889,6381
84,1185,E Michigan,2434,6303
85,1186,E Washington,2829,6805
86,1187,East Carolina,2589,6018
87,1188,Edwardsville,2402,5560
88,1189,Elon,2815,6560
89,1190,ETSU,2955,6909
90,1191,Evansville,2848,6392
91,1192,F Dickinson,2704,6527
92,1193,Fairfield,2955,6972
93,1194,FL Atlantic,2768,6568
94,1195,FL Gulf Coast,3207,7200
95,1196,Florida,3733,7993
96,1197,Florida A&M,2726,6988
97,1198,Florida Intl,2692,6278
98,1199,Florida St,3239,7208
99,1200,Fordham,2793,7092
100,1201,Fresno St,2700,6589
101,1202,Furman,2493,5881
102,1203,G Washington,2991,6857
103,1204,Ga Southern,2728,6326
104,1205,Gardner Webb,2766,6638
105,1206,George Mason,3231,7132
106,1207,Georgetown,3073,6646
107,1208,Georgia,2874,6776
108,1209,Georgia St,3026,6862
109,1210,Georgia Tech,2999,7132
110,1211,Gonzaga,3515,7286
111,1212,Grambling,2337,6193
112,1213,Grand Canyon,566,1343
113,1214,Hampton,2872,7108
115,1216,Hartford,2681,6456
116,1217,Harvard,2671,5677
117,1218,Hawaii,3025,6642
118,1219,High Point,2770,6320
119,1220,Hofstra,2827,6891
120,1221,Holy Cross,2752,6418
121,1222,Houston,3072,6695
122,1223,Houston Bap,2612,6426
123,1224,Howard,2302,6189
124,1225,Idaho,2887,6288
125,1226,Idaho St,2453,5884
126,1227,IL Chicago,2580,6356
