season,daynum,wteam,wscore,lteam,lscore,wloc,numot,wfgm,wfga,wfgm3,wfga3,wftm,wfta,wor,wdr,wast,wto,wstl,wblk,wpf,lfgm,lfga,lfgm3,lfga3,lftm,lfta,lor,ldr,last,lto,lstl,lblk,lpf,rpiRankW,rpiRankL,ptsW,ptsL,fgPcgW,fgPcgL,stlW,stlL,blkW,blkL
2012,7,1112,73,1434,64,H,0,23,48,4,11,23,32,6,28,12,15,10,2,21,21,52,5,20,17,24,8,24,15,18,4,1,23,73.0,103.0,2362,2106,0.4410430839002268,0.4685638649900728,191,183,119,88
2012,7,1280,76,1184,66,H,0,28,58,8,22,12,19,11,32,16,14,9,6,9,26,65,10,33,4,6,7,22,11,10,6,1,18,63.0,229.0,2281,1957,0.4554016620498615,0.4295511221945137,192,211,113,56
2012,7,1385,74,1456,59,H,0,29,59,4,15,12,25,9,20,13,4,12,3,12,22,48,11,32,4,4,6,29,13,21,1,3,19,133.0,300.0,2129,1861,0.4198557958957293,0.4060913705583756,255,147,119,63
2012,9,1103,68,1280,58,A,0,30,62,2,10,6,8,11,23,6,15,8,6,22,19,55,2,13,18,25,18,23,5,19,4,5,12,66.0,63.0,2287,2281,0.4612291786329696,0.4554016620498615,234,192,138,113
2012,9,1112,67,1182,59,H,0,19,44,6,17,23,34,11,32,13,20,4,3,19,19,58,4,25,17,26,13,19,9,10,8,1,26,73.0,104.0,2362,2155,0.4410430839002268,0.4477351916376306,191,223,119,107
2012,9,1385,78,1250,73,H,0,23,42,2,9,30,44,6,22,7,14,11,4,17,27,65,8,26,11,13,17,19,14,16,5,1,31,133.0,101.0,2129,2553,0.4198557958957293,0.4409969481180061,255,263,119,99
2012,9,1401,81,1251,59,H,0,34,52,1,7,12,22,6,33,21,13,4,4,17,21,63,5,21,12,15,11,18,16,10,4,0,21,147.0,278.0,1880,1951,0.4291819291819291,0.4452012383900929,178,135,70,65
2012,11,1102,87,1119,71,H,0,29,52,3,14,26,36,8,31,25,23,15,1,25,23,58,6,29,19,26,7,19,13,24,11,0,29,152.0,294.0,1638,1932,0.4444444444444444,0.4160206718346253,169,171,80,54
2012,11,1104,64,1316,44,H,0,22,54,5,16,15,17,15,28,13,14,4,7,23,13,56,3,21,15,26,22,19,8,13,4,1,15,37.0,191.0,2135,2083,0.4518002322880372,0.4574532287266143,239,179,137,97
2012,11,1113,78,1286,72,H,0,22,49,6,18,28,35,12,31,12,22,12,3,19,22,64,10,30,18,26,17,19,8,17,13,0,25,221.0,281.0,1891,1810,0.4544822793606671,0.40956749672346,173,169,123,95
2012,11,1116,83,1367,63,H,0,30,58,3,9,20,27,13,28,16,23,10,5,18,25,68,5,19,8,15,15,17,14,19,11,3,27,86.0,163.0,2299,2118,0.4344086021505376,0.4370748299319728,265,234,160,129
2012,11,1120,84,1270,62,H,0,33,62,6,18,12,23,13,27,16,13,9,1,22,19,53,3,18,21,27,10,18,7,17,11,4,17,122.0,195.0,1942,1907,0.4170161773517076,0.4166157605375687,199,181,149,104
2012,11,1124,77,1411,57,H,0,26,53,6,18,19,29,15,31,16,17,11,7,20,20,53,7,20,10,20,9,20,8,18,10,1,30,8.0,266.0,2744,2021,0.4633093525179856,0.4125452352231604,279,278,167,139
2012,11,1132,63,1224,48,H,0,21,49,4,13,17,23,6,21,11,9,9,2,18,17,45,3,7,11,18,12,26,4,19,1,2,27,155.0,283.0,1969,1798,0.4513432835820895,0.3801546391752577,232,181,88,89
2012,11,1138,72,1389,65,H,0,23,54,5,18,21,33,16,22,15,12,7,7,16,24,62,5,18,12,18,19,22,10,12,8,3,23,88.0,304.0,1997,1799,0.4607329842931937,0.4058323207776427,151,236,146,110
2012,11,1143,77,1414,56,H,0,28,61,8,17,13,19,18,29,21,14,5,1,16,22,56,6,16,6,14,9,19,15,12,5,2,15,46.0,249.0,2419,1965,0.4755058572949946,0.4151280524121501,159,140,106,119
2012,11,1144,82,1223,68,H,0,28,46,2,6,24,31,3,30,21,22,10,3,23,21,59,6,24,20,30,13,19,15,21,9,2,28,228.0,316.0,2267,1880,0.4809523809523809,0.4077066500932256,184,179,160,41
2012,11,1150,73,1300,57,H,0,26,57,7,18,14,22,15,30,16,18,7,6,23,21,52,5,14,10,22,8,21,8,19,7,4,23,172.0,267.0,2010,1838,0.4115201900237529,0.4443646805455851,243,207,85,100
2012,11,1155,65,1205,44,H,0,25,46,7,15,8,12,6,26,17,18,9,7,14,14,45,5,16,11,12,6,17,8,18,9,0,15,144.0,302.0,2001,1925,0.4326866549088771,0.4062126642771804,231,197,117,67
2012,11,1158,78,1221,69,H,0,22,50,7,16,27,42,12,28,8,18,6,6,20,24,59,2,11,19,23,10,24,8,19,11,3,29,123.0,187.0,2191,1886,0.4262295081967213,0.4300319488817891,229,167,115,129
2012,11,1161,64,1285,58,H,0,19,49,4,13,22,29,12,31,4,13,5,2,18,21,52,5,16,11,16,3,21,12,10,3,3,26,38.0,78.0,2243,2115,0.4713140037014189,0.4653215636822194,172,214,60,111
2012,11,1163,70,1162,57,H,0,26,52,8,17,10,18,10,33,13,15,7,13,13,21,73,9,31,6,8,20,21,10,9,11,0,16,32.0,185.0,2336,1773,0.4515789473684211,0.4259259259259259,199,164,233,64
2012,11,1166,97,1299,65,H,0,33,68,14,35,17,26,19,31,28,13,5,5,19,24,63,6,25,11,17,12,22,14,13,7,3,24,22.0,295.0,2772,1955,0.5038759689922481,0.4119076549210206,169,205,82,90
2012,11,1176,69,1340,61,H,0,24,50,8,20,13,15,5,21,16,13,5,6,19,22,60,1,8,16,22,19,23,9,14,4,5,18,100.0,197.0,2112,2235,0.4876088412592096,0.4775280898876404,223,151,137,86
2012,11,1177,91,1410,72,H,0,37,72,12,27,5,7,14,23,19,15,10,6,24,25,57,8,23,14,23,14,23,11,21,6,1,12,177.0,309.0,2298,1709,0.4381390593047035,0.402787456445993,245,140,126,51
2012,11,1181,77,1125,76,H,0,24,56,9,19,20,26,11,23,14,19,8,1,22,27,57,6,19,16,22,11,24,15,18,9,2,24,7.0,75.0,2628,2745,0.456396866840731,0.4786585365853658,210,246,136,74
2012,11,1185,68,1227,57,H,0,24,52,1,6,19,28,13,24,7,15,8,4,17,21,53,4,20,11,18,15,19,13,20,6,4,22,252.0,284.0,1642,1706,0.3751668891855808,0.3958749168330007,212,137,95,79
2012,11,1193,72,1346,60,N,0,25,51,10,19,12,26,9,26,17,15,6,6,21,23,64,2,9,12,21,19,24,8,16,5,4,23,120.0,169.0,2154,2208,0.4440022740193292,0.4254641909814323,268,169,136,102
2012,11,1196,99,1238,59,H,0,39,76,13,30,8,15,23,21,20,10,12,6,14,16,47,9,13,18,21,12,17,6,24,6,4,13,20.0,325.0,2808,1664,0.4634377967711301,0.3775510204081632,233,207,124,94
2012,11,1199,79,1239,67,H,0,24,54,8,17,23,30,13,26,13,15,7,3,21,25,59,5,17,12,20,14,21,11,16,7,2,23,13.0,272.0,2443,1951,0.4560582423296931,0.4182464454976303,265,220,213,105
2012,11,1201,55,1229,47,H,0,17,42,5,12,16,21,8,24,10,20,12,3,16,15,50,6,18,11,19,15,20,10,21,9,3,25,223.0,98.0,2019,2255,0.4067796610169492,0.433391506689936,218,165,98,111
2012,11,1203,64,1271,48,H,0,25,65,3,12,11,18,15,27,11,15,11,7,11,18,62,3,15,9,10,17,28,8,24,10,4,18,174.0,319.0,1921,1690,0.424927536231884,0.3756940160394818,205,160,115,83
2012,11,1206,92,1348,90,H,1,37,72,2,14,16,28,16,28,18,17,5,3,23,30,71,6,25,24,31,17,26,13,19,7,3,27,89.0,251.0,2323,2126,0.4630872483221476,0.4009533898305085,224,200,163,121
2012,11,1208,62,1459,49,H,0,20,59,7,23,15,22,12,28,12,8,3,4,15,18,52,3,15,10,16,8,30,11,13,1,3,20,83.0,196.0,1950,1908,0.3954285714285714,0.4358024691358024,199,151,118,69
2012,11,1210,92,1197,59,H,0,28,52,10,23,26,36,14,32,16,17,9,6,22,20,53,5,18,14,24,6,15,11,16,9,1,27,178.0,317.0,1866,1999,0.4270896888346552,0.398616285258116,161,232,152,129
2012,11,1211,77,1186,69,H,0,19,51,3,13,36,51,22,28,11,18,7,4,11,23,61,13,29,10,11,11,18,13,15,8,5,33,24.0,234.0,2436,2139,0.4729885057471264,0.4024663677130045,223,210,105,103
2012,11,1220,89,1254,71,H,0,29,49,8,15,23,34,9,22,19,18,9,3,21,23,48,8,21,17,32,10,15,18,20,8,4,27,237.0,102.0,2091,2769,0.4041570438799076,0.4742268041237113,245,206,84,113
