index,Unnamed: 0,team_id,team_name,fgm,fga,fgPcg,ptsTotal,stlTotal,blkTotal,won,played,wp
0,0,1101,Abilene Chr,427,1053,0.4055080721747388,1326,121,31,2,21,0.09523809523809523
1,1,1102,Air Force,2493,5510,0.4524500907441016,7175,665,282,50,111,0.45045045045045046
2,2,1103,Akron,3253,7357,0.4421639255131168,9235,900,576,89,132,0.6742424242424242
3,3,1104,Alabama,2992,6783,0.4411027568922305,8339,1007,578,74,128,0.578125
4,4,1105,Alabama A&M,2357,5896,0.3997625508819539,6732,702,447,36,108,0.3333333333333333
5,5,1106,Alabama St,2666,6711,0.3972582327521979,7568,835,436,50,121,0.4132231404958678
6,6,1107,Albany NY,3019,6922,0.4361456226524126,8751,701,352,77,132,0.5833333333333334
7,7,1108,Alcorn St,2474,6344,0.3899747793190416,7144,761,422,29,116,0.25
8,8,1110,American Univ,2758,6192,0.4454134366925064,7830,559,356,72,124,0.5806451612903226
9,9,1111,Appalachian St,2708,6254,0.4330028781579789,7745,665,356,43,113,0.3805309734513274
10,10,1112,Arizona,3519,7665,0.4590998043052837,10321,822,495,110,141,0.7801418439716312
11,11,1113,Arizona St,3032,6768,0.4479905437352245,8618,745,622,64,127,0.5039370078740157
12,12,1114,Ark Little Rock,2797,6792,0.4118080094228504,8282,759,402,60,125,0.48
13,13,1115,Ark Pine Bluff,2634,6534,0.4031221303948576,7567,1036,360,45,123,0.36585365853658536
14,14,1116,Arkansas,3287,7516,0.4373336881319851,9416,1061,680,76,127,0.5984251968503937
15,15,1117,Arkansas St,2825,6664,0.4239195678271308,8400,822,344,63,123,0.5121951219512195
16,16,1119,Army,2835,6575,0.4311787072243346,8235,655,321,50,118,0.423728813559322
17,17,1120,Auburn,2789,6737,0.4139824847855128,8015,832,502,48,123,0.3902439024390244
18,18,1122,Austin Peay,2998,6591,0.4548626915490821,8493,852,527,45,119,0.37815126050420167
19,19,1123,Ball St,2522,5940,0.4245791245791245,7533,669,264,49,116,0.4224137931034483
20,20,1124,Baylor,3334,7323,0.4552778915744913,9543,856,622,85,131,0.648854961832061
21,21,1125,Belmont,3598,7466,0.4819180283953924,10450,1089,349,103,132,0.7803030303030303
22,22,1126,Bethune-Cookman,2795,6705,0.4168530947054437,7954,814,334,50,124,0.4032258064516129
23,23,1127,Binghamton,2429,6291,0.3861071371800985,7063,692,300,19,121,0.15702479338842976
24,24,1129,Boise St,3015,6863,0.4393122541162756,8775,817,256,69,122,0.5655737704918032
25,25,1130,Boston College,2870,6544,0.4385696821515892,8469,629,340,52,127,0.4094488188976378
26,26,1131,Boston Univ,3059,7094,0.4312094727939103,8717,831,341,78,130,0.6
27,27,1132,Bowling Green,2941,6817,0.4314214463840399,7788,942,485,50,123,0.4065040650406504
28,28,1133,Bradley,2929,6963,0.4206520178084159,8143,920,337,46,127,0.36220472440944884
29,29,1135,Brown,2563,6120,0.4187908496732026,7321,617,377,43,111,0.38738738738738737
30,30,1136,Bryant,2934,6624,0.4429347826086957,8274,638,265,46,120,0.38333333333333336
31,31,1137,Bucknell,3083,6887,0.4476550021780165,8763,549,388,91,129,0.7054263565891473
32,32,1138,Buffalo,2916,6393,0.4561238854997653,8297,747,583,65,118,0.5508474576271186
33,33,1139,Butler,3160,7398,0.4271424709380914,9101,806,329,85,135,0.6296296296296297
34,34,1140,BYU,3722,8117,0.4585437969693236,10626,1063,462,97,133,0.7293233082706767
35,35,1141,C Michigan,2658,6600,0.4027272727272727,7727,816,299,37,120,0.30833333333333335
36,36,1142,Cal Poly SLO,2601,6314,0.4119417168197656,7452,680,229,58,119,0.48739495798319327
37,37,1143,California,3332,7277,0.4578809949154871,9195,699,486,81,130,0.6230769230769231
38,38,1144,Campbell,2957,6528,0.4529718137254901,8131,772,519,47,119,0.3949579831932773
39,39,1145,Canisius,3067,7071,0.4337434591995474,8763,803,436,59,123,0.4796747967479675
40,40,1146,Cent Arkansas,2747,6526,0.4209316579834508,7525,802,369,25,107,0.2336448598130841
41,41,1147,Centenary,552,1392,0.396551724137931,1643,196,68,1,28,0.03571428571428571
42,42,1148,Central Conn,3017,7005,0.4306923625981442,8417,889,494,55,119,0.46218487394957986
43,43,1149,Charleston So,2813,6574,0.4278977791299057,8084,809,297,53,111,0.4774774774774775
44,44,1150,Charlotte,2924,6827,0.4282993994433866,8385,867,358,61,123,0.4959349593495935
45,45,1151,Chattanooga,2748,6687,0.4109466128308658,8189,667,268,48,118,0.4067796610169492
46,46,1152,Chicago St,2678,6736,0.3975653206650831,7443,887,320,25,115,0.21739130434782608
47,47,1153,Cincinnati,3347,7932,0.4219616742309632,9464,1058,689,101,139,0.7266187050359713
48,48,1154,Citadel,2616,6076,0.4305464121132324,7287,600,229,22,115,0.19130434782608696
49,49,1155,Clemson,2944,6848,0.4299065420560747,8265,865,615,71,128,0.5546875
50,50,1156,Cleveland St,2890,6579,0.4392764857881137,8272,866,373,75,122,0.6147540983606558
51,51,1157,Coastal Car,2794,6211,0.4498470455643213,7753,725,369,68,111,0.6126126126126126
52,52,1158,Col Charleston,3162,7172,0.4408812046848857,8898,724,526,80,129,0.6201550387596899
53,53,1159,Colgate,2834,6485,0.4370084811102544,7952,569,315,38,122,0.3114754098360656
54,54,1160,Colorado,3255,7299,0.4459515002055076,9505,856,426,86,134,0.6417910447761194
55,55,1161,Colorado St,3026,6731,0.4495617293121379,8887,680,294,76,125,0.608
56,56,1162,Columbia,2484,5813,0.4273180801651471,7301,644,291,55,111,0.4954954954954955
57,57,1163,Connecticut,3467,7822,0.4432370237790846,9842,919,808,98,139,0.7050359712230215
58,58,1164,Coppin St,2714,6768,0.4010047281323877,8023,752,231,42,116,0.3620689655172414
59,59,1165,Cornell,2579,6275,0.4109960159362549,7316,707,326,34,112,0.30357142857142855
60,60,1166,Creighton,3595,7348,0.4892487751769189,10281,615,319,102,137,0.7445255474452555
61,61,1167,CS Bakersfield,2688,6362,0.4225086450801634,7701,801,340,46,114,0.40350877192982454
62,62,1168,CS Fullerton,2967,6587,0.4504326704114164,8616,684,229,52,119,0.4369747899159664
63,63,1169,CS Northridge,2817,6687,0.4212651413189771,8388,802,328,44,118,0.3728813559322034
64,64,1170,CS Sacramento,2420,5678,0.4262064107079957,6934,555,242,37,107,0.34579439252336447
65,65,1171,Dartmouth,2352,5802,0.405377456049638,6683,664,282,27,110,0.24545454545454545
66,66,1172,Davidson,3189,7074,0.4508057675996607,9373,659,342,84,126,0.6666666666666666
67,67,1173,Dayton,3238,7266,0.4456372144233416,9270,704,360,82,131,0.6259541984732825
68,68,1174,Delaware,3082,7189,0.4287105299763528,9079,641,551,76,129,0.5891472868217055
69,69,1175,Delaware St,2458,5918,0.4153430212909766,6931,766,553,40,114,0.3508771929824561
70,70,1176,Denver,2706,5742,0.4712643678160919,7841,870,473,71,121,0.5867768595041323
71,71,1177,DePaul,3252,7555,0.4304434149569821,8976,962,501,42,127,0.33070866141732286
72,72,1178,Detroit,3171,7179,0.4417049728374425,9141,937,533,65,126,0.5158730158730159
73,73,1179,Drake,2827,6441,0.4389070020183201,8267,720,311,57,123,0.4634146341463415
74,74,1180,Drexel,2839,6714,0.4228477807566279,8126,583,369,77,125,0.616
75,75,1181,Duke,3781,8112,0.4660996055226824,11073,949,537,115,141,0.8156028368794326
76,76,1182,Duquesne,3006,6870,0.4375545851528384,8605,838,449,53,119,0.44537815126050423
77,77,1183,E Illinois,2526,5869,0.4303970011927074,7089,649,319,37,113,0.3274336283185841
78,78,1184,E Kentucky,2889,6381,0.4527503526093089,8475,882,242,71,121,0.5867768595041323
79,79,1185,E Michigan,2434,6303,0.3861653181024909,7054,893,535,50,122,0.4098360655737705
80,80,1186,E Washington,2829,6805,0.4157237325495959,8293,655,509,44,118,0.3728813559322034
81,81,1187,East Carolina,2589,6018,0.4302093718843469,7822,765,378,53,112,0.4732142857142857
82,82,1188,Edwardsville,2402,5560,0.4320143884892086,6804,586,264,28,104,0.2692307692307692
83,83,1189,Elon,2815,6560,0.4291158536585366,8122,601,326,59,116,0.5086206896551724
84,84,1190,ETSU,2955,6909,0.4277029960920538,8514,951,371,63,125,0.504
85,85,1191,Evansville,2848,6392,0.4455569461827284,8266,723,317,58,121,0.4793388429752066
86,86,1192,F Dickinson,2704,6527,0.4142791481538226,7654,704,432,24,118,0.2033898305084746
87,87,1193,Fairfield,2955,6972,0.4238382099827883,8255,904,501,69,130,0.5307692307692308
88,88,1194,FL Atlantic,2768,6568,0.4214372716199756,7788,672,562,50,119,0.42016806722689076
89,89,1195,FL Gulf Coast,3207,7200,0.4454166666666667,9021,932,430,68,128,0.53125
90,90,1196,Florida,3733,7993,0.4670336544476416,10522,964,472,116,145,0.8
91,91,1197,Florida A&M,2726,6988,0.3900973096737264,7618,877,460,34,118,0.288135593220339
92,92,1198,Florida Intl,2692,6278,0.4287989805670595,7861,920,406,48,116,0.41379310344827586
93,93,1199,Florida St,3239,7208,0.449361820199778,9256,951,751,85,134,0.6343283582089553
94,94,1200,Fordham,2793,7092,0.393824027072758,7813,666,539,34,119,0.2857142857142857
95,95,1201,Fresno St,2700,6589,0.4097738655334648,7889,848,420,48,120,0.4
96,96,1202,Furman,2493,5881,0.4239074987247067,7309,576,376,45,115,0.391304347826087
97,97,1203,G Washington,2991,6857,0.4361965874289047,8269,863,518,64,124,0.5161290322580645
98,98,1204,Ga Southern,2728,6326,0.4312361681947518,7643,855,255,39,119,0.3277310924369748
99,99,1205,Gardner Webb,2766,6638,0.4166917746309129,7830,846,299,52,120,0.43333333333333335
100,100,1206,George Mason,3231,7132,0.4530286034772854,9087,846,475,80,130,0.6153846153846154
101,101,1207,Georgetown,3073,6646,0.4623833885043635,8695,810,549,86,127,0.6771653543307087
102,102,1208,Georgia,2874,6776,0.4241440377804014,8372,749,562,70,129,0.5426356589147286
103,103,1209,Georgia St,3026,6862,0.4409793063246867,8519,973,585,70,124,0.5645161290322581
104,104,1210,Georgia Tech,2999,7132,0.4204991587212563,8161,811,547,56,126,0.4444444444444444
105,105,1211,Gonzaga,3515,7286,0.4824320614877848,10111,955,448,108,134,0.8059701492537313
106,106,1212,Grambling,2337,6193,0.3773615372194413,6668,627,311,20,116,0.1724137931034483
107,107,1213,Grand Canyon,566,1343,0.4214445271779597,1832,96,75,12,26,0.46153846153846156
